Time,Simulated Time,Failed on,Reward,Altitude (m),Roll,Pitch,Yaw,X_distance,Y_distance
532.0,6.01,PitchAlt,0.076,948.833,-0.568,0.618,-4.133,1.0,1.0
532.5,6.01,Alt,3.475,984.947,0.154,0.49,1.603,-0.0,-0.0
533.0,6.01,Alt,1.152,964.729,0.058,0.237,1.775,1.0,2.0
533.5,6.01,PitchAlt,-16.922,984.596,-0.113,0.647,0.923,-0.0,-0.0
534.0,6.01,RollAlt,-17.079,992.861,-0.621,0.429,-0.98,-0.0,1.0
534.5,6.01,Alt,-17.042,939.417,0.09,0.38,0.368,-1.0,2.0
535.0,6.01,Alt,2.816,956.041,-0.125,0.504,0.207,-0.0,1.0
535.5,6.01,PitchRollAlt,-7.218,932.033,-1.002,0.639,-5.139,1.0,2.0
536.0,6.01,PitchAlt,-14.788,945.866,-0.256,1.056,-0.818,-0.0,-0.0
536.6,6.01,PitchRollAlt,-4.972,931.809,-0.851,0.728,-3.386,1.0,2.0
537.1,6.01,RollAlt,-16.512,964.755,-1.469,0.478,-3.487,1.0,2.0
537.6,6.01,PitchAlt,-3.914,934.746,-0.032,1.056,0.517,-0.0,1.0
538.2,6.01,Alt,0.826,967.787,-0.307,0.109,-1.516,1.0,1.0
538.8,6.01,Alt,-3.018,944.42,-0.198,0.464,-1.087,1.0,1.0
539.3,6.01,Alt,-6.294,961.562,-0.491,0.571,-4.409,1.0,2.0
539.8,6.01,Alt,-18.047,933.895,0.215,0.44,-0.144,-0.0,2.0
540.3,6.01,RollAlt,-41.066,950.942,-1.081,0.1,-1.889,1.0,1.0
540.9,6.01,Alt,1.499,929.211,-0.097,0.501,-1.089,-0.0,1.0
541.5,6.01,Alt,3.289,955.658,-0.308,0.362,-0.641,1.0,1.0
542.0,6.01,PitchAlt,-15.12,947.653,-0.246,0.845,0.236,-0.0,1.0
542.5,6.01,PitchAlt,-9.966,942.778,-0.18,1.148,-2.282,-0.0,2.0
543.0,6.01,Alt,-8.784,949.026,0.163,0.29,2.967,-2.0,-0.0
543.6,6.01,Alt,-9.135,928.932,0.329,0.407,2.117,-0.0,1.0
544.1,6.01,PitchAlt,-19.714,956.905,0.43,0.678,3.13,-0.0,-0.0
544.6,6.01,Alt,-20.203,940.804,0.02,0.526,2.36,-0.0,1.0
545.1,6.01,Alt,4.45,935.322,-0.103,0.481,-0.442,-0.0,1.0
545.6,6.01,PitchRollAlt,-24.677,951.038,-0.733,0.789,-1.516,1.0,1.0
546.1,6.01,PitchAlt,-4.132,946.75,-0.319,0.667,-1.153,1.0,-0.0
546.6,6.01,Alt,-10.886,945.128,-0.177,0.543,2.764,1.0,1.0
547.1,6.01,PitchAlt,1.815,939.642,-0.122,0.644,-0.234,-0.0,1.0
547.7,6.01,Alt,-20.038,994.011,-0.556,0.136,-0.882,1.0,1.0
548.2,6.01,Alt,0.964,1014.132,-0.244,-0.05,5.03,-2.0,1.0
548.7,6.01,Alt,-19.165,936.55,0.295,0.468,6.364,-0.0,1.0
549.3,6.01,Alt,4.387,936.285,0.293,0.485,1.892,-0.0,2.0
549.8,6.01,Alt,3.587,944.14,-0.207,0.53,-1.782,1.0,-0.0
550.4,6.01,RollAlt,-3.82,931.543,0.602,0.291,6.862,1.0,2.0
550.9,6.01,Alt,-0.248,934.486,0.287,0.314,6.794,-0.0,2.0
551.4,6.01,PitchAlt,-76.513,975.804,0.078,-0.801,-4.286,-0.0,1.0
552.0,6.01,PitchAlt,1.979,940.375,0.39,0.596,3.825,-0.0,1.0
552.4,6.01,PitchRollAlt,-27.085,949.495,-2.264,1.169,-1.66,-0.0,1.0
552.9,6.01,Alt,1.503,986.93,-0.253,0.015,2.574,-0.0,1.0
553.4,6.01,Alt,4.711,944.88,-0.358,0.559,-0.862,1.0,-0.0
553.9,6.01,RollAlt,-4.847,962.708,-0.584,0.513,-3.697,3.0,2.0
554.4,6.01,Alt,-15.204,936.212,0.348,0.304,5.25,-0.0,1.0
554.9,6.01,Alt,-0.472,947.127,0.2,0.56,3.154,-0.0,1.0
555.4,6.01,PitchRollAlt,-12.17,931.63,-0.737,0.758,-3.769,1.0,2.0
555.9,6.01,RollAlt,-17.283,990.15,-0.59,0.114,-1.117,1.0,1.0
556.4,6.01,Alt,3.616,943.454,0.2,0.454,2.435,-0.0,1.0
556.9,6.01,Alt,3.007,929.303,0.164,0.458,1.8,-0.0,1.0
557.4,6.01,PitchAlt,-11.195,950.912,0.326,0.682,2.887,1.0,1.0
557.9,6.01,Alt,-24.449,926.72,0.169,0.506,0.704,-2.0,3.0
558.3,6.01,Alt,2.746,940.467,0.25,0.561,4.981,-0.0,2.0
558.8,6.01,RollAlt,-15.865,929.7,-0.911,0.321,-6.737,1.0,2.0
559.4,6.01,Alt,5.177,964.532,-0.511,0.436,-1.438,-0.0,1.0
559.9,6.01,PitchAlt,-27.305,958.805,-0.183,0.808,1.71,-0.0,-0.0
560.3,6.01,Alt,-18.351,949.127,0.039,0.546,1.287,-0.0,-0.0
560.8,6.01,PitchAlt,-23.328,928.4,-0.132,0.833,0.934,1.0,1.0
561.3,6.01,Alt,4.341,960.726,-0.559,0.529,-0.972,-0.0,1.0
561.9,6.01,Alt,3.43,934.462,0.238,0.254,3.349,-0.0,1.0
562.4,6.01,Alt,1.027,961.943,0.049,0.295,1.226,-2.0,-0.0
562.8,6.01,Alt,4.656,931.258,-0.1,0.561,-0.711,1.0,-0.0
563.3,6.01,Alt,-2.156,931.829,0.189,0.184,3.993,-0.0,1.0
563.8,6.01,Alt,1.78,936.539,0.238,0.289,2.179,-0.0,1.0
564.4,6.01,Alt,-5.7,929.483,0.303,0.214,5.944,-0.0,1.0
564.9,6.01,Alt,-3.661,932.149,0.195,0.234,4.074,-0.0,-0.0
565.3,6.01,Alt,4.219,965.709,-0.094,0.421,0.756,-0.0,-0.0
565.8,6.01,Alt,-3.59,969.467,0.524,-0.215,-4.304,-0.0,-0.0
566.3,6.01,Alt,-21.506,928.576,0.375,0.186,7.818,-0.0,-3.0
566.9,6.01,PitchRollAlt,-21.646,942.838,-0.626,0.58,-4.155,1.0,1.0
567.3,6.01,PitchRollAlt,-16.74,966.818,-1.164,0.597,-3.257,-0.0,2.0
567.8,6.01,Alt,-1.594,946.332,0.024,0.051,-2.545,-4.0,1.0
568.3,6.01,PitchAlt,-19.803,951.947,0.216,0.772,1.105,-0.0,2.0
568.8,6.01,Alt,-10.81,932.341,0.345,0.51,2.606,-0.0,-0.0
569.3,6.01,Alt,-22.137,940.798,0.065,0.534,-0.747,3.0,-0.0
569.8,6.01,Alt,3.17,940.475,-0.11,0.515,-0.25,1.0,1.0
570.3,6.01,Alt,3.128,945.778,-0.259,0.489,-1.897,1.0,-0.0
570.7,6.01,PitchAlt,-21.357,949.482,-0.43,0.956,-2.419,-0.0,2.0
571.2,6.01,PitchRollAlt,-14.973,963.947,0.941,0.749,1.682,-0.0,1.0
571.7,6.01,PitchAlt,-7.849,939.693,-0.144,1.001,-0.177,-0.0,2.0
572.2,6.01,Alt,-8.003,940.985,0.262,0.385,0.896,-0.0,1.0
572.7,6.01,Alt,-13.994,957.613,-0.059,0.443,0.8,-0.0,-0.0
573.2,6.01,Alt,-4.985,977.003,-0.298,-0.083,-2.046,-0.0,1.0
573.6,6.01,RollAlt,-46.415,946.913,-1.434,0.344,-1.87,-1.0,1.0
574.2,6.01,PitchAlt,1.106,938.922,-0.007,0.596,1.065,-0.0,1.0
574.7,6.01,PitchAlt,-25.219,976.734,-0.414,0.954,0.708,-0.0,-0.0
575.2,6.01,PitchAlt,-2.71,947.799,-0.457,0.731,-1.464,1.0,1.0
575.7,6.01,Alt,-0.157,958.685,0.029,0.382,3.826,-0.0,-0.0
576.2,6.01,PitchAlt,-18.003,951.508,-0.008,1.112,1.085,-0.0,1.0
576.8,6.01,PitchRollAlt,-22.785,940.001,-0.588,1.023,-3.482,1.0,2.0
577.3,6.01,RollAlt,-29.953,929.442,0.598,0.014,7.737,-0.0,4.0
577.8,6.01,Alt,2.067,940.595,0.25,0.307,1.193,1.0,-0.0
578.2,6.01,Alt,-14.742,972.127,-0.485,0.495,-0.066,-0.0,-0.0
578.7,6.01,PitchAlt,-51.94,924.92,-0.232,1.063,0.562,-0.0,1.0
579.3,6.01,RollAlt,-4.089,966.691,-0.606,0.53,-0.967,1.0,1.0
579.8,6.01,PitchAlt,-7.364,941.019,-0.398,0.646,-3.778,1.0,2.0
580.2,6.01,Alt,2.724,974.255,-0.53,0.53,-0.624,-0.0,1.0
580.7,6.01,Alt,-3.916,967.858,0.054,0.473,2.68,-0.0,-0.0
581.2,6.01,Alt,3.179,944.397,0.254,0.332,1.813,-0.0,1.0
581.8,6.01,PitchRollAlt,-15.505,966.71,-0.731,1.058,-1.148,-0.0,1.0
582.3,6.01,Alt,3.392,932.7,-0.079,0.396,-1.967,-0.0,-0.0
582.8,6.01,Alt,-11.95,985.593,-0.259,0.291,1.227,-0.0,-0.0
583.3,6.01,Alt,3.299,935.582,0.081,0.419,0.774,-0.0,-0.0
583.8,6.01,Alt,1.768,985.911,-0.555,0.558,-1.167,1.0,1.0
584.4,6.01,Alt,4.4,947.621,-0.348,0.463,-1.369,1.0,-0.0
584.9,6.01,Alt,-2.316,954.991,0.185,0.436,1.117,1.0,-0.0
585.4,6.01,Alt,1.874,948.937,-0.29,0.551,-1.066,-0.0,1.0
585.8,6.01,Alt,-11.189,930.462,0.182,0.248,3.045,1.0,2.0
586.3,6.01,Alt,3.631,1004.908,0.16,-0.002,-0.776,-0.0,1.0
586.9,6.01,RollAlt,-21.195,938.627,-0.719,0.116,-6.846,1.0,1.0
587.3,6.01,RollAlt,-25.528,979.358,-0.8,0.412,-1.354,1.0,-0.0
587.8,6.01,RollAlt,-12.544,937.679,0.829,0.553,6.367,-0.0,2.0
588.3,6.01,Alt,0.368,970.865,-0.121,0.16,-2.571,-1.0,1.0
588.8,6.01,Alt,5.347,932.764,-0.014,0.44,-0.279,1.0,1.0
589.3,6.01,Alt,-6.423,936.717,0.181,0.506,6.444,-0.0,1.0
589.8,6.01,Alt,1.956,937.54,0.245,0.395,0.805,-0.0,-0.0
590.3,6.01,Alt,5.715,929.747,0.091,0.402,0.335,1.0,1.0
590.8,6.01,RollAlt,-7.396,971.706,0.604,0.456,2.586,-0.0,1.0
591.3,6.01,RollAlt,-27.412,933.587,-0.619,-0.103,-7.332,1.0,1.0
591.8,6.01,Alt,2.485,1000.996,0.055,-0.324,-2.1,-0.0,-0.0
592.3,6.01,Alt,-6.2,976.675,-0.285,0.509,-0.061,1.0,-0.0
592.8,6.01,Alt,-8.487,930.536,0.23,0.181,4.085,-0.0,1.0
593.3,6.01,Alt,-1.689,949.711,-0.073,0.338,3.99,-0.0,1.0
593.7,6.01,Alt,-0.57,959.841,-0.009,0.319,0.804,-0.0,-0.0
594.3,6.01,Alt,0.758,981.719,-0.124,0.363,-0.177,-0.0,1.0
594.8,6.01,Alt,0.704,931.093,0.298,0.23,3.826,-0.0,1.0
595.2,6.01,Alt,3.739,968.048,-0.027,0.235,0.476,-0.0,1.0
595.7,6.01,Alt,3.12,936.049,0.274,0.215,3.037,-0.0,-0.0
596.2,6.01,PitchAlt,-15.228,946.321,0.113,1.04,1.122,-0.0,2.0
596.8,6.01,Alt,3.259,933.246,0.295,0.155,4.607,-0.0,1.0
597.2,6.01,Alt,1.979,1001.292,-0.09,-0.123,-1.554,1.0,1.0
597.7,6.01,RollAlt,-45.095,957.07,-1.078,0.489,-1.603,1.0,2.0
598.2,6.01,Alt,-15.37,936.516,-0.258,0.354,3.669,2.0,3.0
598.7,6.01,RollAlt,-4.928,985.949,-0.655,0.445,-1.905,1.0,1.0
599.2,6.01,Alt,-3.842,971.428,-0.4,0.359,-3.714,1.0,1.0
599.7,6.01,Alt,-13.665,981.702,0.069,0.512,0.868,-0.0,-0.0
600.2,6.01,Alt,4.773,934.276,0.115,0.43,0.864,1.0,-0.0
600.7,6.01,Alt,3.935,1015.322,0.104,0.021,-1.114,1.0,1.0
601.2,6.01,Alt,0.817,934.321,-0.009,0.426,-0.187,1.0,-0.0
601.7,6.01,Alt,-8.37,936.718,-0.133,0.259,-2.294,-0.0,1.0
602.2,6.01,PitchAlt,-11.38,947.909,0.4,0.703,3.59,-0.0,1.0
602.7,6.01,PitchAlt,0.546,944.646,-0.337,0.61,-1.653,1.0,1.0
603.1,6.01,PitchRollAlt,-61.53,971.932,-0.693,-0.981,-2.909,-0.0,1.0
603.6,6.01,PitchAlt,-16.857,953.702,-0.003,0.752,0.994,1.0,1.0
604.2,6.01,Alt,-4.19,926.024,0.505,0.263,7.997,-0.0,2.0
604.7,6.01,PitchAlt,-24.436,967.637,-0.319,0.943,0.694,-0.0,-0.0
605.2,6.01,Alt,2.173,953.948,0.185,0.279,2.722,-0.0,1.0
605.7,6.01,Alt,-9.432,932.869,0.269,0.304,1.935,-0.0,-0.0
606.3,6.01,Alt,-4.191,943.997,0.1,0.324,1.211,1.0,1.0
606.8,6.01,PitchAlt,-12.893,947.764,-0.33,0.858,-2.528,-0.0,1.0
607.4,6.01,PitchAlt,-11.359,942.545,-0.109,1.236,0.485,-0.0,1.0
607.9,6.01,Alt,0.357,932.326,0.192,0.373,0.415,-0.0,1.0
608.4,6.01,PitchRollAlt,-26.347,945.988,-1.838,0.839,-3.374,1.0,2.0
608.9,6.01,Alt,1.719,977.224,-0.283,0.153,-1.604,1.0,1.0
609.5,6.01,Alt,-0.681,964.391,-0.388,0.263,-1.397,-0.0,-0.0
610.0,6.01,Alt,5.033,931.348,0.107,0.4,0.929,1.0,-0.0
610.5,6.01,Alt,1.898,952.236,-0.083,0.533,0.3,1.0,1.0
611.0,6.01,Alt,-1.715,939.958,-0.318,0.344,-5.465,2.0,2.0
611.4,6.01,Alt,4.39,933.04,-0.067,0.376,-1.66,-0.0,1.0
612.0,6.01,Alt,1.018,947.26,0.241,0.156,2.283,-0.0,1.0
612.5,6.01,Alt,2.427,956.733,0.16,0.474,0.508,-0.0,-0.0
613.1,6.01,PitchAlt,-2.634,942.477,0.474,0.664,6.73,-0.0,2.0
613.6,6.01,Alt,1.059,942.569,0.213,0.184,2.45,-0.0,1.0
614.2,6.01,RollAlt,-12.242,930.075,-0.881,0.267,-5.35,1.0,1.0
614.7,6.01,PitchAlt,-7.884,940.392,0.099,0.926,1.117,-0.0,1.0
615.1,6.01,Alt,2.967,932.088,-0.1,0.395,-2.344,1.0,1.0
615.6,6.01,Alt,-2.099,933.675,0.308,0.289,2.631,1.0,2.0
616.1,6.01,Alt,-10.596,937.338,-0.216,0.332,0.779,-0.0,1.0
616.7,6.01,Alt,-1.867,937.254,-0.369,0.559,-4.461,1.0,1.0
617.1,6.01,Alt,2.534,991.465,-0.165,0.169,0.085,1.0,2.0
617.6,6.01,PitchAlt,-1.227,949.272,-0.213,0.581,1.139,-0.0,1.0
618.1,6.01,Alt,2.963,938.309,-0.025,0.467,0.513,1.0,-0.0
618.6,6.01,Alt,-4.143,944.022,-0.023,0.121,-2.113,-2.0,-0.0
619.2,6.01,Alt,-4.424,943.832,-0.093,0.51,0.586,1.0,1.0
619.7,6.01,Alt,-14.003,927.249,0.26,0.256,1.571,1.0,1.0
620.1,6.01,RollAlt,-0.834,930.953,-0.585,0.344,-6.296,1.0,1.0
620.6,6.01,PitchAlt,-6.704,955.755,-0.143,0.828,-0.323,-0.0,5.0
621.1,6.01,PitchAlt,-12.839,955.079,-0.123,0.575,0.674,-1.0,1.0
621.7,6.01,Alt,3.639,938.288,-0.108,0.298,-1.7,1.0,2.0
622.1,6.01,Alt,-12.334,981.959,-0.082,0.458,1.69,-0.0,-0.0
622.6,6.01,RollAlt,-22.294,978.99,-0.576,0.01,-3.862,1.0,1.0
623.1,6.01,Alt,4.991,947.558,-0.077,0.555,0.118,-0.0,-0.0
623.6,6.01,PitchAlt,-9.519,946.572,-0.088,0.896,0.464,-0.0,1.0
624.1,6.01,Alt,4.442,930.542,-0.049,0.34,-1.805,1.0,1.0
624.6,6.01,Alt,2.894,943.763,-0.294,0.392,-4.253,1.0,1.0
625.1,6.01,Alt,4.2,979.501,-0.523,0.34,-2.48,1.0,1.0
625.6,6.01,Alt,-5.676,929.379,0.534,0.378,6.961,1.0,3.0
626.1,6.01,PitchRollAlt,-20.982,962.597,-0.765,0.786,-1.571,1.0,1.0
626.7,6.01,Alt,-1.452,939.447,0.133,0.46,0.342,-0.0,1.0
627.2,6.01,RollAlt,-13.821,961.409,-0.805,0.565,-1.303,1.0,1.0
627.8,6.01,Alt,0.291,950.485,-0.207,0.134,-3.323,1.0,1.0
628.3,6.01,Alt,0.449,977.686,0.182,0.22,1.617,-0.0,-0.0
628.9,6.01,Alt,-12.963,926.926,0.152,0.132,9.471,1.0,-0.0
629.5,6.01,Alt,-3.531,936.305,-0.322,0.447,-5.317,1.0,2.0
630.1,6.01,RollAlt,-2.476,968.994,-0.703,0.493,-1.704,-0.0,1.0
630.6,6.01,RollAlt,-13.725,992.074,-0.652,0.214,-1.93,1.0,-0.0
631.1,6.01,Alt,-1.058,930.668,0.353,0.269,7.778,1.0,1.0
631.6,6.01,PitchAlt,-29.388,940.983,-0.184,0.731,3.984,-0.0,1.0
632.2,6.01,Alt,3.87,942.868,-0.024,0.387,0.076,-0.0,1.0
632.7,6.01,Alt,2.854,942.172,0.158,0.206,4.611,1.0,1.0
633.1,6.01,PitchAlt,-5.698,959.172,0.077,0.618,2.803,-0.0,1.0
633.6,6.01,Alt,0.03,1000.175,-0.398,-0.311,-1.312,-0.0,-2.0
634.2,6.01,Alt,-1.827,934.791,0.362,0.289,4.469,-0.0,1.0
634.7,6.01,PitchRollAlt,-16.566,959.979,-0.639,0.637,-0.688,1.0,1.0
635.2,6.01,Alt,2.551,932.556,0.13,0.2,5.366,-0.0,1.0
635.8,6.01,Alt,4.0,953.03,0.243,0.218,1.911,-0.0,-0.0
636.3,6.01,Alt,3.156,936.261,0.38,0.35,4.721,-0.0,1.0
636.8,6.01,Alt,0.005,961.886,-0.35,0.304,-0.693,1.0,1.0
637.3,6.01,Alt,2.294,969.419,0.142,0.44,0.789,-0.0,-0.0
637.8,6.01,Alt,1.522,944.337,-0.146,0.325,-1.094,-0.0,-0.0
638.3,6.01,Alt,1.245,940.755,-0.139,0.42,-3.088,1.0,2.0
638.8,6.01,PitchAlt,-9.653,987.247,-0.415,-0.758,-2.274,-0.0,-2.0
639.3,6.01,Alt,-0.631,958.806,-0.279,0.268,-2.25,1.0,1.0
639.8,6.01,Alt,1.793,943.531,-0.411,0.173,-4.923,1.0,1.0
640.4,6.01,Alt,1.388,949.596,-0.069,0.274,2.206,2.0,1.0
640.9,6.01,Alt,-0.416,930.97,0.345,0.314,6.88,-0.0,2.0
641.4,6.01,PitchAlt,-13.703,963.158,0.135,0.76,0.924,-0.0,1.0
642.0,6.01,Alt,2.885,942.024,0.064,0.446,1.645,1.0,1.0
642.6,6.01,PitchAlt,-11.8,951.438,0.202,0.953,2.366,-0.0,1.0
643.1,6.01,Alt,-9.509,934.286,0.165,0.151,3.409,-0.0,-1.0
643.7,6.01,Alt,-1.48,949.743,-0.179,0.505,-0.861,2.0,-0.0
644.2,6.01,Alt,-4.766,951.65,0.094,0.287,-2.096,-0.0,1.0
644.7,6.01,Alt,1.783,933.374,0.136,0.201,4.851,-0.0,-0.0
645.3,6.01,Alt,0.653,958.676,-0.358,0.337,-1.523,-0.0,-0.0
645.8,6.01,Alt,-0.836,974.736,0.078,0.423,1.184,-0.0,-0.0
646.3,6.01,Alt,0.576,936.891,-0.229,0.39,-1.158,-0.0,-0.0
646.8,6.01,Alt,0.554,970.522,0.082,-0.039,-3.924,-0.0,1.0
647.3,6.01,Alt,-7.599,931.804,-0.219,0.102,-7.225,1.0,1.0
647.8,6.01,Alt,-0.359,950.511,-0.306,0.297,-2.221,1.0,1.0
648.3,6.01,Alt,-3.702,929.05,0.001,0.388,-0.424,-0.0,1.0
648.8,6.01,Alt,-3.717,942.325,-0.095,0.24,-2.937,1.0,1.0
649.3,6.01,PitchAlt,-3.376,965.167,0.193,0.624,2.565,-0.0,1.0
649.8,6.01,PitchAlt,-14.828,981.574,-0.237,0.621,0.059,-0.0,-0.0
650.4,6.01,Alt,-23.234,944.444,-0.572,-0.172,-3.102,1.0,-0.0
651.0,6.01,PitchAlt,-14.728,966.21,-0.092,0.712,0.496,-0.0,-0.0
651.5,6.01,PitchAlt,-21.529,943.229,-0.216,0.926,2.046,1.0,1.0
652.0,6.01,Alt,-1.795,934.254,0.125,0.26,3.648,-0.0,1.0
652.5,6.01,Alt,1.722,938.113,0.055,0.328,1.235,-0.0,-0.0
653.1,6.01,PitchRollAlt,-8.844,947.429,-0.64,0.732,-5.753,1.0,2.0
653.7,6.01,Alt,-2.485,946.115,-0.177,0.294,1.302,-2.0,1.0
654.2,6.01,Alt,2.086,983.785,-0.103,0.409,0.729,-0.0,1.0
654.7,6.01,PitchAlt,-18.516,963.78,-0.45,0.683,-0.8,-0.0,-0.0
655.3,6.01,Alt,0.43,947.137,0.053,0.383,0.957,1.0,-0.0
656.0,6.01,Alt,-4.507,952.961,-0.267,0.146,-0.794,2.0,2.0
656.5,6.01,Alt,-20.426,933.324,-0.242,0.551,-3.715,1.0,1.0
657.0,6.01,Alt,0.202,974.304,-0.132,-0.238,2.768,-2.0,2.0
657.6,6.01,Alt,-1.968,941.488,0.109,0.535,3.499,-0.0,1.0
658.1,6.01,Alt,3.991,983.424,0.239,-0.103,0.074,-0.0,1.0
658.7,6.01,Alt,-2.349,930.038,0.267,0.243,6.045,1.0,1.0
659.2,6.01,Alt,2.551,957.535,0.059,0.361,1.073,-0.0,1.0
659.7,6.01,PitchRollAlt,-9.812,955.033,-0.71,0.767,-1.531,-0.0,1.0
660.3,6.01,Alt,-8.602,957.855,-0.178,0.477,0.249,-0.0,-0.0
660.8,6.01,Alt,1.474,957.833,0.009,0.244,3.852,-0.0,1.0
661.4,6.01,Alt,1.54,964.138,-0.133,0.389,0.549,-0.0,-0.0
661.9,6.01,Alt,-1.936,948.798,0.242,0.55,2.186,-0.0,1.0
662.4,6.01,Alt,2.595,959.487,-0.068,0.507,-0.273,-0.0,1.0
662.9,6.01,Alt,1.762,958.541,0.045,0.325,0.565,-0.0,1.0
663.4,6.01,PitchAlt,-5.062,966.959,-0.322,0.68,-2.841,-0.0,1.0
663.9,6.01,Alt,-7.714,938.345,0.015,0.495,-0.988,1.0,1.0
664.5,6.01,Alt,2.751,948.928,-0.168,0.496,0.002,-0.0,1.0
665.0,6.01,RollAlt,-4.079,1005.422,0.665,-0.199,1.45,-0.0,-0.0
665.6,6.01,Alt,-14.975,931.205,0.383,0.314,2.364,-0.0,-0.0
666.1,6.01,Alt,-36.055,986.588,0.523,-0.207,-5.534,-0.0,-0.0
666.7,6.01,PitchAlt,-42.469,926.239,-0.539,0.69,-0.507,1.0,1.0
667.2,6.01,Alt,-8.491,946.772,-0.125,0.495,0.382,-0.0,1.0
667.6,6.01,PitchAlt,-11.497,948.947,0.192,0.849,1.425,-0.0,1.0
668.1,6.01,PitchAlt,-3.984,944.814,0.36,0.608,6.504,-0.0,1.0
668.6,6.01,Alt,1.87,932.844,0.122,0.446,1.596,1.0,-0.0
669.2,6.01,Alt,-0.818,947.625,-0.106,0.552,-0.146,1.0,-0.0
669.7,6.01,Alt,2.608,953.413,0.027,0.314,0.155,-0.0,-0.0
670.2,6.01,Alt,2.564,971.781,-0.244,0.146,-3.093,1.0,1.0
670.7,6.01,Alt,2.28,948.509,-0.314,0.552,-3.153,1.0,1.0
671.2,6.01,RollAlt,-8.119,953.509,-0.674,0.423,-6.557,1.0,2.0
671.8,6.01,PitchAlt,-5.78,943.922,0.252,0.705,2.306,-1.0,2.0
672.3,6.01,Alt,-7.458,930.202,-0.545,0.512,-3.099,1.0,1.0
672.8,6.01,Alt,1.269,952.162,-0.135,0.095,2.605,-0.0,-0.0
673.3,6.01,Alt,-0.825,955.86,-0.154,0.328,-1.966,1.0,1.0
673.7,6.01,Alt,-0.938,991.282,-0.065,-0.347,2.835,1.0,-0.0
674.3,6.01,PitchAlt,-15.095,934.846,-0.153,0.843,1.001,1.0,-1.0
674.8,6.01,PitchAlt,-2.94,954.429,0.056,0.675,-1.551,1.0,1.0
675.3,6.01,Alt,4.564,1002.167,-0.047,0.034,-0.826,-0.0,1.0
675.7,6.01,Alt,2.349,996.475,-0.23,0.15,-0.326,1.0,1.0
676.2,6.01,RollAlt,-10.395,987.312,-0.703,0.35,-0.78,1.0,-0.0
676.8,6.01,Alt,5.43,931.199,0.009,0.489,0.021,1.0,2.0
677.3,6.01,Alt,3.703,954.757,0.12,0.565,1.884,1.0,1.0
677.7,6.01,Alt,0.917,967.844,-0.14,0.258,0.412,1.0,3.0
678.2,6.01,Alt,3.429,974.635,-0.359,0.524,-0.478,-0.0,1.0
678.7,6.01,RollAlt,-43.517,936.593,-1.032,0.544,-0.876,1.0,-0.0
679.3,6.01,Alt,1.547,947.876,-0.284,0.309,-2.851,1.0,1.0
679.8,6.01,Alt,-5.005,942.89,0.12,0.565,3.995,-0.0,-0.0
680.3,6.01,PitchAlt,-8.545,958.322,-0.045,0.643,0.77,-0.0,1.0
680.7,6.01,Alt,-1.352,942.031,0.007,0.349,2.959,-0.0,1.0
681.2,6.01,Alt,3.792,943.459,-0.075,0.464,-1.051,1.0,1.0
681.8,6.01,PitchRollAlt,-19.19,966.592,-1.07,0.967,-2.336,-0.0,1.0
682.3,6.01,PitchAlt,-20.91,985.229,-0.491,0.634,0.401,-0.0,-0.0
682.8,6.01,PitchAlt,-1.072,957.468,-0.059,0.609,1.085,-0.0,1.0
683.2,6.01,Alt,-24.978,925.338,0.32,0.278,8.956,-0.0,1.0
683.7,6.01,Alt,-0.751,945.755,0.308,0.514,2.332,-0.0,1.0
684.3,6.01,Alt,1.893,951.28,0.151,0.511,2.811,-0.0,1.0
684.7,6.01,Alt,2.904,939.892,-0.486,0.444,-5.324,1.0,2.0
685.2,6.01,Alt,3.611,947.817,-0.119,0.449,0.1,-0.0,1.0
685.7,6.01,RollAlt,-19.817,972.778,-0.597,0.482,-0.65,1.0,-0.0
686.2,6.01,Alt,2.275,974.983,0.08,0.221,2.077,1.0,-0.0
686.7,6.01,Alt,4.44,945.454,-0.053,0.375,-0.101,-0.0,1.0
687.2,6.01,Alt,3.04,967.412,-0.309,0.184,-2.45,1.0,1.0
687.7,6.01,Alt,-2.75,967.257,0.008,0.248,1.047,-1.0,1.0
688.2,6.01,Alt,-5.46,936.242,0.186,0.318,3.604,1.0,1.0
688.7,6.01,PitchAlt,-18.56,963.135,-0.44,0.615,-0.894,1.0,-0.0
689.3,6.01,Alt,4.273,934.719,-0.142,0.471,-1.663,1.0,1.0
689.8,6.01,PitchAlt,-20.775,936.925,0.112,0.612,0.79,1.0,2.0
690.3,6.01,Alt,0.498,932.752,0.441,0.172,8.671,-0.0,1.0
690.8,6.01,Alt,2.6,983.127,0.1,0.201,1.313,1.0,-1.0
691.3,6.01,PitchRollAlt,-9.532,951.779,-1.132,0.833,-5.953,1.0,2.0
691.8,6.01,PitchAlt,-13.438,947.368,0.266,0.863,1.862,-0.0,-0.0
692.3,6.01,Alt,2.115,932.872,0.314,0.153,3.869,1.0,1.0
692.8,6.01,Alt,-0.447,976.467,-0.226,0.228,0.168,1.0,-0.0
693.3,6.01,Alt,4.254,963.33,-0.172,0.47,-0.108,-0.0,-0.0
693.8,6.01,Alt,4.731,930.797,0.004,0.537,0.472,-0.0,-0.0
694.3,6.01,RollAlt,-6.017,968.033,-0.727,0.502,-2.365,-0.0,1.0
694.8,6.01,Alt,2.072,964.214,-0.06,0.146,0.723,-0.0,1.0
