Time,Simulated Time,Failed on,Reward,Altitude (m),Roll,Pitch,Yaw,X_distance,Y_distance
38.4,6.01,PitchAlt,-23.862,931.578,0.182,1.208,3.189,-0.0,3.0
38.8,6.01,RollAlt,-27.322,932.77,-2.147,-0.319,-6.011,1.0,6.0
39.4,6.01,PitchAlt,-23.408,938.081,0.102,0.93,3.2,-0.0,-0.0
39.9,6.01,RollAlt,-27.841,940.06,2.576,0.186,5.704,-0.0,4.0
40.4,6.01,PitchRollAlt,-13.203,954.714,-1.156,0.767,-0.958,-0.0,1.0
41.0,6.01,RollAlt,-31.7,981.528,-1.095,0.426,-1.216,1.0,1.0
41.5,6.01,PitchRollAlt,-35.0,965.424,-1.369,0.734,-0.814,-0.0,1.0
42.1,6.01,RollAlt,-29.255,936.448,-0.866,0.192,-7.207,-0.0,1.0
42.6,6.01,Alt,-10.981,974.274,-0.2,0.459,6.454,3.0,-0.0
43.0,6.01,PitchRollAlt,-21.742,931.856,-2.149,1.082,-2.119,1.0,4.0
43.5,6.01,PitchRollAlt,-27.35,943.061,-1.54,0.948,-5.305,1.0,3.0
44.0,6.01,PitchRollAlt,-14.717,946.418,-1.226,0.935,-0.99,1.0,1.0
44.6,6.01,PitchRollAlt,-23.172,958.389,-2.282,-0.964,-5.797,-1.0,3.0
45.1,6.01,Alt,-2.382,956.33,-0.407,-0.191,-1.102,-0.0,-3.0
45.6,6.01,RollAlt,-24.269,934.619,-3.318,-0.079,-2.054,1.0,8.0
46.1,6.01,PitchRollAlt,-57.332,947.055,-1.161,-0.691,-3.792,-0.0,2.0
46.6,6.01,PitchRollAlt,-26.064,929.992,-1.043,1.436,-0.81,-0.0,1.0
47.2,6.01,PitchRollAlt,-29.966,943.736,-0.825,1.042,0.063,-0.0,1.0
47.7,6.01,RollAlt,-29.676,960.78,-2.15,-0.487,-3.28,1.0,2.0
48.2,6.01,RollAlt,-19.0,947.12,-2.618,-0.383,-3.716,1.0,6.0
48.7,6.01,PitchAlt,-19.987,930.543,0.459,0.698,3.803,-0.0,2.0
49.2,6.01,RollAlt,-32.672,929.934,-3.436,0.358,-2.37,-1.0,6.0
49.7,6.01,Alt,2.879,995.067,-0.054,0.159,0.237,1.0,-2.0
50.2,6.01,RollAlt,-24.763,928.328,-1.155,-0.34,-7.947,-0.0,3.0
50.7,6.01,PitchRollAlt,-19.397,942.391,-1.245,0.989,-0.661,-0.0,1.0
51.2,6.01,PitchAlt,-38.733,934.026,-6.239,-1.025,1.215,1.0,4.0
51.6,6.01,PitchRollAlt,-21.637,952.832,1.668,1.439,4.896,-0.0,3.0
52.2,6.01,PitchAlt,-22.989,933.313,0.464,0.806,6.64,-0.0,1.0
52.7,6.01,PitchRollAlt,-20.569,946.755,-0.655,1.062,0.649,-0.0,1.0
53.2,6.01,PitchAlt,-22.094,953.496,-0.48,0.893,-0.016,-0.0,1.0
53.7,6.01,PitchAlt,-35.589,955.492,-0.394,1.149,4.973,-0.0,1.0
54.1,6.01,PitchAlt,-25.85,930.312,0.021,1.074,2.198,-0.0,1.0
54.7,6.01,RollAlt,-20.997,941.752,-2.151,0.479,-5.344,1.0,4.0
55.2,6.01,RollAlt,-23.875,926.559,-2.568,0.381,-3.112,-0.0,5.0
55.7,6.01,PitchRollAlt,-22.881,934.987,-1.166,1.173,-1.313,-0.0,1.0
56.1,6.01,PitchRollAlt,-6.261,950.208,-0.575,0.828,-1.88,-0.0,1.0
56.6,6.01,RollAlt,-22.003,930.414,-2.021,0.039,-4.927,1.0,5.0
57.2,6.01,PitchAlt,-24.519,945.129,0.001,1.327,1.977,-0.0,2.0
57.7,6.01,Alt,-11.771,953.367,-0.193,0.441,1.465,-0.0,3.0
58.1,6.01,RollAlt,-28.506,929.323,-2.222,-0.191,-2.755,1.0,4.0
58.6,6.01,RollAlt,-30.121,950.043,-1.639,-0.455,-6.749,1.0,4.0
59.1,6.01,RollAlt,-25.407,932.007,-2.891,-0.378,-2.503,-0.0,8.0
59.6,6.01,PitchRollAlt,-26.932,932.122,-1.704,-1.427,-4.24,1.0,5.0
60.1,6.01,PitchAlt,-25.124,930.57,-0.395,1.198,1.168,-0.0,1.0
60.7,6.01,RollAlt,-21.105,953.55,-1.142,0.471,-3.177,-0.0,2.0
61.1,6.01,PitchAlt,-3.014,969.503,-0.347,0.601,1.02,-1.0,1.0
61.6,6.01,PitchRollAlt,-23.209,951.247,-2.265,-0.828,-4.765,-0.0,4.0
62.2,6.01,RollAlt,-22.437,931.079,-1.244,-0.266,-7.536,1.0,4.0
62.7,6.01,PitchAlt,-27.687,930.723,0.12,0.705,3.877,1.0,1.0
63.2,6.01,PitchRollAlt,-28.847,939.758,-1.194,1.216,-0.326,-0.0,1.0
63.7,6.01,PitchRollAlt,-22.762,953.411,-1.177,0.883,-0.436,-0.0,1.0
64.2,6.01,PitchRollAlt,-22.316,930.14,-1.875,0.909,-1.965,1.0,3.0
64.7,6.01,Alt,2.177,997.919,0.268,-0.079,-0.836,1.0,2.0
65.2,6.01,PitchAlt,-14.036,943.397,0.049,0.716,2.053,-0.0,-0.0
65.7,6.01,Alt,-16.489,929.67,0.253,0.519,2.516,-0.0,1.0
66.2,6.01,RollAlt,-28.193,991.33,-0.857,0.147,-1.547,1.0,1.0
66.7,6.01,PitchRollAlt,-23.036,937.338,-1.842,0.96,-1.42,1.0,2.0
67.3,6.01,PitchRollAlt,-6.925,946.016,-1.04,0.696,-2.273,-0.0,1.0
67.8,6.01,RollAlt,-21.775,937.849,-1.802,-0.463,-5.861,1.0,4.0
68.2,6.01,PitchRollAlt,-33.66,964.232,-1.365,1.092,-1.016,-0.0,2.0
68.7,6.01,RollAlt,-31.869,925.675,-1.772,-0.367,-5.737,1.0,5.0
69.2,6.01,RollAlt,-26.402,936.528,-1.845,-0.141,-5.598,1.0,4.0
69.8,6.01,RollAlt,-32.964,937.127,-2.632,0.309,-2.77,1.0,6.0
70.2,6.01,RollAlt,-23.855,931.429,-1.402,-0.247,-7.384,1.0,4.0
70.7,6.01,Alt,1.083,989.952,0.263,-0.067,-0.284,1.0,-0.0
71.2,6.01,PitchAlt,-19.732,967.521,-0.429,1.115,0.204,-0.0,-0.0
71.7,6.01,PitchAlt,-10.453,933.723,0.028,0.627,2.704,-0.0,1.0
72.3,6.01,PitchRollAlt,-25.612,944.111,-1.178,-0.851,-7.936,1.0,2.0
72.7,6.01,Alt,1.623,970.82,-0.223,0.524,-1.237,-0.0,1.0
73.2,6.01,PitchRollAlt,-35.702,962.358,-4.37,0.738,-1.106,-1.0,-0.0
73.7,6.01,Alt,-10.379,932.073,0.254,0.382,6.853,3.0,4.0
74.2,6.01,PitchRollAlt,-28.069,939.961,-1.217,-0.686,-6.445,1.0,3.0
74.8,6.01,PitchRollAlt,-12.966,948.089,0.61,1.15,3.176,-1.0,3.0
75.3,6.01,RollAlt,-28.976,953.491,-2.127,0.279,-3.584,-0.0,3.0
75.8,6.01,PitchRollAlt,-35.483,958.659,-1.013,0.864,0.214,-0.0,1.0
76.4,6.01,PitchRollAlt,-29.551,937.341,-1.93,0.673,-4.3,1.0,4.0
76.9,6.01,RollAlt,-24.761,957.501,-2.049,0.06,-2.738,1.0,3.0
77.5,6.01,RollAlt,-32.179,948.643,-2.358,0.208,-3.305,-0.0,5.0
78.0,6.01,RollAlt,-27.67,968.934,-1.528,-0.19,-5.209,1.0,1.0
78.5,6.01,PitchRollAlt,-15.881,962.867,-0.985,0.678,-1.198,-0.0,1.0
78.9,6.01,PitchRollAlt,-33.794,948.458,-3.152,-1.071,-3.181,-0.0,2.0
79.4,6.01,RollAlt,-31.531,960.303,-3.046,-0.053,-2.188,-0.0,4.0
80.0,6.01,PitchRollAlt,-21.256,933.452,-3.166,0.662,-2.289,-1.0,5.0
80.4,6.01,RollAlt,-26.792,928.629,-0.834,-0.252,-8.172,1.0,2.0
80.9,6.01,PitchAlt,-0.762,979.775,-0.111,0.604,0.628,-0.0,1.0
81.4,6.01,PitchAlt,-21.888,937.277,-0.269,0.985,1.417,1.0,1.0
81.9,6.01,Alt,2.181,939.391,0.159,0.395,4.97,-0.0,1.0
82.4,6.01,RollAlt,-34.048,964.378,-1.507,-0.107,-4.283,-0.0,1.0
82.9,6.01,PitchAlt,-10.641,948.654,-0.467,0.8,-0.323,-0.0,1.0
83.4,6.01,PitchAlt,-18.287,944.263,-0.415,0.928,-0.477,-0.0,1.0
83.9,6.01,PitchRollAlt,-18.815,965.209,-1.396,0.64,-2.864,-0.0,2.0
84.4,6.01,RollAlt,-15.109,944.302,-2.202,0.377,-4.405,1.0,5.0
84.9,6.01,RollAlt,-13.724,939.801,-1.755,0.392,-6.565,1.0,4.0
85.4,6.01,PitchRollAlt,-26.546,931.669,-1.251,0.694,-6.384,1.0,3.0
85.9,6.01,RollAlt,-21.38,954.664,-1.949,0.409,-4.656,1.0,4.0
86.4,6.01,PitchAlt,-21.153,937.585,-0.049,0.784,1.485,-0.0,1.0
86.9,6.01,RollAlt,-34.282,946.108,-2.11,0.154,-2.043,1.0,3.0
87.5,6.01,PitchRollAlt,-25.143,929.469,-1.769,0.804,-3.099,1.0,4.0
88.0,6.01,PitchAlt,-21.621,939.709,-0.031,0.803,0.94,-0.0,1.0
88.5,6.01,PitchRollAlt,-27.258,950.462,-0.877,1.22,1.225,-0.0,2.0
89.0,6.01,PitchAlt,-15.916,944.506,0.004,0.978,3.208,-0.0,2.0
89.6,6.01,PitchAlt,-18.365,934.305,-0.495,0.979,0.014,1.0,2.0
90.1,6.01,PitchRollAlt,-28.504,955.942,1.324,1.27,5.39,-3.0,-0.0
90.6,6.01,RollAlt,-33.702,940.511,-1.898,0.495,-3.172,-0.0,4.0
91.1,6.01,Alt,0.542,960.224,-0.319,0.231,-1.308,-0.0,2.0
91.6,6.01,PitchRollAlt,-13.614,941.405,-1.028,0.904,-2.183,1.0,2.0
92.0,6.01,RollAlt,-36.181,931.803,-1.375,0.182,-9.217,1.0,4.0
92.6,6.01,PitchAlt,-1.593,935.422,0.294,0.671,4.493,-1.0,1.0
93.0,6.01,PitchRollAlt,-12.914,936.251,-1.177,0.813,-3.806,1.0,3.0
93.5,6.01,PitchAlt,-0.841,939.655,-0.04,0.637,4.166,1.0,-0.0
94.0,6.01,RollAlt,-15.377,938.45,-2.4,0.378,-4.243,1.0,5.0
94.5,6.01,Alt,-9.188,933.777,0.429,0.248,5.886,1.0,2.0
95.0,6.01,Alt,-5.697,951.655,-0.107,0.557,1.277,-0.0,-2.0
95.5,6.01,PitchRollAlt,-24.227,970.423,-1.627,1.41,-0.721,-2.0,-0.0
96.1,6.01,RollAlt,-21.81,936.898,-1.458,0.044,-5.669,1.0,3.0
96.6,6.01,Alt,-1.413,929.156,0.228,0.342,4.619,-0.0,1.0
97.1,6.01,PitchRollAlt,-27.19,940.461,-1.237,0.976,-1.692,-0.0,1.0
97.7,6.01,PitchRollAlt,-15.217,982.591,-0.845,0.811,-0.757,-0.0,1.0
98.2,6.01,PitchRollAlt,-17.922,936.756,-1.726,0.894,-2.586,-0.0,2.0
98.7,6.01,Alt,-3.573,973.387,-0.161,0.373,-1.645,-0.0,8.0
99.3,6.01,PitchRollAlt,-25.074,947.471,-1.092,0.724,-0.839,2.0,3.0
99.8,6.01,PitchAlt,-32.629,953.46,0.263,0.777,1.758,-0.0,-0.0
100.4,6.01,PitchRollAlt,-14.615,944.405,-0.59,0.915,0.107,-0.0,1.0
100.8,6.01,PitchAlt,-8.921,939.017,0.324,0.93,4.176,1.0,-0.0
101.3,6.01,Alt,-2.933,984.901,0.161,0.012,-2.772,-1.0,-0.0
101.8,6.01,PitchAlt,-22.331,930.67,-0.111,0.94,1.894,-0.0,-0.0
102.3,6.01,PitchRollAlt,-23.964,945.117,-0.591,1.048,1.015,-0.0,2.0
102.8,6.01,PitchRollAlt,-24.057,947.049,-2.619,1.18,-2.883,-0.0,4.0
103.3,6.01,PitchRollAlt,-17.587,966.659,-1.285,1.018,-1.618,-0.0,1.0
103.8,6.01,RollAlt,-22.667,930.647,-1.928,0.004,-5.994,1.0,3.0
104.3,6.01,PitchRollAlt,-23.763,952.958,-1.261,0.64,-1.512,-0.0,2.0
104.7,6.01,PitchRollAlt,-31.862,967.006,-2.681,1.217,-0.81,-2.0,-0.0
105.3,6.01,Alt,3.777,1015.519,0.362,0.023,0.019,1.0,1.0
105.8,6.01,Alt,-9.079,962.731,-0.359,0.022,2.48,1.0,1.0
106.2,6.01,PitchRollAlt,-33.66,950.221,-3.135,0.786,-1.368,-1.0,3.0
106.7,6.01,PitchRollAlt,-33.662,958.807,-1.806,1.096,-0.788,-0.0,1.0
107.2,6.01,PitchAlt,-30.244,948.61,-0.46,0.991,1.782,-0.0,1.0
107.7,6.01,RollAlt,-15.512,940.723,-2.674,-0.001,-4.073,-0.0,6.0
108.2,6.01,RollAlt,-40.367,924.437,-1.79,0.227,-4.893,1.0,4.0
108.7,6.01,RollAlt,-39.536,955.052,-1.6,0.375,-2.189,1.0,2.0
109.2,6.01,RollAlt,-25.997,940.963,-1.518,0.112,-6.278,1.0,2.0
109.6,6.01,PitchAlt,-16.119,953.439,-0.507,1.045,0.984,-0.0,2.0
110.2,6.01,PitchAlt,-21.737,961.428,-0.346,0.972,1.187,-0.0,1.0
110.7,6.01,Alt,-5.77,938.492,0.017,0.482,-5.704,3.0,-0.0
111.3,6.01,PitchRollAlt,-23.317,940.782,-1.463,-0.635,-6.658,1.0,4.0
111.8,6.01,RollAlt,-16.595,977.642,-1.148,0.329,-5.118,-0.0,1.0
112.3,6.01,RollAlt,-33.543,958.723,-1.716,0.224,-2.56,1.0,1.0
112.8,6.01,RollAlt,-30.058,947.817,-3.406,0.494,-1.783,-1.0,3.0
113.3,6.01,PitchRollAlt,-26.478,949.17,-2.689,1.258,-1.504,-1.0,3.0
113.8,6.01,Alt,-5.044,930.221,0.049,0.238,5.847,-0.0,3.0
114.3,6.01,PitchRollAlt,-11.947,935.63,-1.07,0.672,-1.461,1.0,3.0
114.8,6.01,PitchAlt,-9.622,947.508,-0.345,0.788,-0.055,-0.0,1.0
115.4,6.01,PitchRollAlt,-15.672,946.948,-2.038,0.898,-3.671,-0.0,3.0
115.9,6.01,Alt,0.915,978.806,-0.294,0.14,-2.648,-0.0,2.0
116.4,6.01,PitchAlt,-33.606,965.394,-0.278,1.154,2.921,-0.0,-0.0
116.8,6.01,PitchAlt,-20.952,934.917,0.151,0.907,2.956,-0.0,1.0
117.3,6.01,Alt,-23.755,967.785,0.118,0.407,2.474,-0.0,-0.0
117.8,6.01,PitchAlt,-12.994,951.535,-0.326,0.691,0.312,1.0,-0.0
118.3,6.01,PitchRollAlt,-29.14,952.483,-1.76,0.842,-1.905,1.0,2.0
118.8,6.01,PitchRollAlt,-14.688,928.883,-1.502,0.852,-3.538,1.0,2.0
119.3,6.01,PitchRollAlt,-15.5,955.288,-2.156,0.72,-3.583,1.0,4.0
119.8,6.01,PitchRollAlt,-34.473,952.818,-0.812,1.126,0.437,-0.0,1.0
120.3,6.01,PitchRollAlt,-29.315,948.027,-0.958,1.117,-0.126,-0.0,2.0
120.8,6.01,Alt,-35.697,957.065,-0.049,0.494,2.455,-0.0,-0.0
121.3,6.01,RollAlt,-23.499,963.838,-2.385,-0.349,-4.677,-0.0,2.0
121.8,6.01,Alt,-9.517,934.594,0.131,0.544,1.739,-1.0,1.0
122.2,6.01,Alt,2.763,964.945,-0.283,0.442,-0.419,1.0,1.0
122.8,6.01,PitchAlt,-9.022,945.759,-0.565,0.874,-0.569,-0.0,3.0
123.3,6.01,RollAlt,-34.716,929.555,-0.734,-0.072,-10.072,1.0,3.0
